doc_id,cleaned_text,bertopic_topic,bertopic_probability
228677733,hotel style accommodation excellent value bathtub nice able use laundry kitchen facility leisure moment away anstey metro station stone throw away many amenity sydney rd thank melinda comfortable lovely absolutely extended booking calendar allowed,-1,0.0
124421433,great home fantastic communication host,-1,0.0
128330353,mihai place great bathroom kitchen livingroom bedroom superclean nice place clean flat huge one spent day came back eat chat go sleep didnt need space bedroom huge eather confortable enough two people mihai family nice great chat arrived thank guy hope see around,15,0.9389055585992929
56015569,host canceled reservation day arrival automated posting,10,1.0
163473700,good space thanks andrew,56,0.5178624105525956
263015869,really enjoyed really cool location great negative aspect uncomfortable couch,5,1.0
32131478,think find better place south yarra mia beautiful clean safe described try book next trip,62,1.0
155271641,really enjoyable great host,65,0.837774458124089
268103256,clean great location modern space,3,1.0
187310818,matilda fantastic host helpful accommodating excellent well appointed fantastic location,105,1.0
226870773,fantastic great location near crown casino southbank extremely clean quiet well equipped good security good parking recommend others,-1,0.0
327471306,friendly host great location recommend place,-1,0.0
225547744,great place cool hip comfortable absolutely back thanks host,109,1.0
232891970,loved time yvonne cottage sure come back another visit,21,0.4028768870652041
123139976,bruce dave great host pleasure enjoy williamstown,65,0.7039254337493351
237410965,picture clean tasteful close lot cool spot eat drink tram train lovely,87,0.8853815819779456
314550330,perfect,29,0.031644599573461364
315827374,david ong jordan,28,0.2938327970279177
140281593,kenneth place great location absolutely amazing looking part action right heart fitzroy collingwood liked quirkiness high ceiling warehouse urban feel noisy middle night well worth stumbling distance many great restaurant bar etc,9,0.5062454124530703
221252282,stayed christmas great time flat great location needed recommended,-1,0.0
317930670,,2,1.0
26650954,fab experience staying katherine place daughter great time really enjoyed taking relaxing bath day trip sanctuary kate eileen pleasure interact positive recommend book,53,0.8562814447003574
200016997,great view sunset lounge close,-1,0.0
12627014,stayed ramona night visiting child recently located perth birthday accommodation exactly stated website pleased find clean comfortable need met miki card convenient map guide located study area location fitzroy exactly looking nearby cafe bar tram stop end street energetic minute walk cbd child time hardly saw ramona tasty bread muffin offer overlooked however needed time went quickly hopefully long return,97,1.0
239971135,stylish clean amazing view great first experience using,27,0.8910655995677095
